,0,1,2,3
99,99.0,-0.22196145378730625,0.09297658847262703,PPO
100,100.0,-0.055445141147331456,0.0898272080500277,PPO
101,101.0,-1.0544457681242203,0.0883744845580541,PPO
102,102.0,-0.4863083538216625,0.07694628203123136,PPO
103,103.0,-0.12607374060557996,0.07131373567270241,PPO
104,104.0,0.43314379791829144,0.06933986090991959,PPO
105,105.0,0.24938636661846428,0.0729779002800033,PPO
106,106.0,0.2123314513651682,0.0747419849433879,PPO
107,107.0,0.15318505077187689,0.0761178796076057,PPO
108,108.0,-5.8407513626984455,0.07688855131924842,PPO
109,109.0,0.0019403896849793313,0.017712152179071475,PPO
110,110.0,0.3668478056311427,0.017554434554130555,PPO
111,111.0,0.23468873622243833,0.021047368264900675,PPO
112,112.0,0.7624022428673477,0.023183781944476053,PPO
